序号,食物名称,食物热量,食物营养信息链接
166,带鱼，又叫刀鱼、裙带鱼、牙带、白带鱼、柳鞭鱼、带柳、晦刀鱼,热量：127 大卡(每100克),http://www.boohee.com/shiwu/daiyu
167,脆皮肠,热量：302 大卡(每100克),http://www.boohee.com/shiwu/cuipichang
168,酱鸭，又叫鸭肉,热量：266 大卡(每100克),http://www.boohee.com/shiwu/jiangya
169,河虾,热量：87 大卡(每100克),http://www.boohee.com/shiwu/hexia
170,鸭翅，又叫鸭肉,热量：146 大卡(每100克),http://www.boohee.com/shiwu/yachi
171,猪血，又叫液体肉、血豆腐、血花,热量：55 大卡(每100克),http://www.boohee.com/shiwu/zhuxue
172,猪蹄(熟),热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti_shu
173,虾仁（红）,热量：48 大卡(每100克),http://www.boohee.com/shiwu/xiaren_hong
174,猪肉(肋条肉),热量：568 大卡(每100克),http://www.boohee.com/shiwu/zhurou_leitiaorou
175,虾皮,热量：153 大卡(每100克),http://www.boohee.com/shiwu/xiapi
176,羊肉串(烤),热量：206 大卡(每100克),http://www.boohee.com/shiwu/yangrouchuan_kao
177,基围虾,热量：101 大卡(每100克),http://www.boohee.com/shiwu/jiweixia
178,猪肝,热量：129 大卡(每100克),http://www.boohee.com/shiwu/zhugan
179,鸭胸脯肉,热量：90 大卡(每100克),http://www.boohee.com/shiwu/yaxiongfurou
180,虾虎，又叫虾虎、琵琶虾、虾蛄、虾爬子,热量：81 大卡(每100克),http://www.boohee.com/shiwu/xiahu
181,培根（熏肉）,热量：181 大卡(每100克),http://www.boohee.com/shiwu/larou_peigen
182,麦当劳 麦乐鸡,热量：281 大卡(每100克),http://www.boohee.com/shiwu/maidanglaohimaileji_5kuaizhuan
183,虾米，又叫海米、金钩、开洋,热量：198 大卡(每100克),http://www.boohee.com/shiwu/xiami
184,麦当劳 香骨鸡腿,热量：217 大卡(每100克),http://www.boohee.com/shiwu/fdc11eae
185,麦当劳 麦辣鸡翅,热量：210 大卡(每100克),http://www.boohee.com/shiwu/mailajichi4kuai_maidanglao
186,鲳鱼，又叫银鲳、镜鱼 鲳鱼,热量：140 大卡(每100克),http://www.boohee.com/shiwu/changyu
187,麦当劳 那么大鸡小块,热量：257 大卡(每100克),http://www.boohee.com/shiwu/fd710c89
188,牛肉(后腿),热量：106 大卡(每100克),http://www.boohee.com/shiwu/niurou_houtui
189,猪肉脯,热量：378 大卡(每100克),http://www.boohee.com/shiwu/zhuroufu
190,广式腊肠,热量：584 大卡(每100克),http://www.boohee.com/shiwu/lachang
